"delivery_id","city","customer_id","scheduled_datetime","delivered_datetime","status","delay_minutes","carrier","distance_km","weight_kg"
"D00001","Cape Town","15390","2025-06-12 13:00:00","2025-06-13 07:55:00","Delivered","31","SwiftX","135","1.5"
"D00002","Bloemfontein","16949","2025-05-02 17:00:00","2025-05-02 22:36:00","Delivered","0","MegaHaul","1342","26.5"
"D00003","Cape Town","18666","2025-06-28 15:00:00","2025-06-29 04:39:00","Delivered","60","SwiftX","194","5"
"D00004","Durban","17734","2025-06-21 14:00:00","2025-06-22 10:14:00","Delivered","0","MegaHaul","651","8.9"
"D00005","Johannesburg","18792","2025-06-29 07:00:00","2025-06-29 20:56:00","Delivered","0","MegaHaul","960","6.5"
"D00006","Cape Town","18226","2025-05-14 06:00:00","2025-05-15 00:05:00","Delivered","0","SkyDrop","570","27.6"
"D00007","Johannesburg","16873","2025-06-13 07:00:00","2025-06-13 11:21:00","Delivered","0","SkyDrop","274","36.5"
"D00008","Cape Town","19467","2025-06-26 13:00:00","2025-06-27 01:59:00","Delivered","0","RoadRunner","883","41.5"
"D00009","Cape Town","16331","2025-06-29 14:00:00","2025-06-30 10:40:00","Delivered","0","MegaHaul","69","1.3"
"D00010","Cape Town","12027","2025-05-08 13:00:00","2025-05-09 08:06:00","Delivered","0","SwiftX","597","35.7"
"D00011","Pretoria","15892","2025-06-11 12:00:00","2025-06-12 06:30:00","Delivered","33","SkyDrop","934","5.2"
"D00012","Cape Town","18996","2025-06-04 17:00:00","2025-06-05 06:05:00","Delivered","0","RoadRunner","965","19.5"
"D00013","Bloemfontein","13840","2025-05-05 15:00:00","2025-05-06 00:22:00","Delivered","0","SkyDrop","875","2.5"
"D00014","Pretoria","17721","2025-06-29 08:00:00","2025-06-29 23:23:00","Delivered","0","RoadRunner","568","28.4"
"D00015","Pretoria","17574","2025-06-08 16:00:00","2025-06-09 02:59:00","Delivered","59","SwiftX","1188","30.1"
"D00016","Pretoria","19789","2025-06-26 10:00:00","2025-06-26 21:48:00","Delivered","3","MegaHaul","1359","16.6"
"D00017","Johannesburg","17392","2025-05-01 14:00:00","2025-05-02 12:46:00","Delivered","0","SwiftX","632","18"
"D00018","Cape Town","15575","2025-05-27 14:00:00","2025-05-27 20:23:00","Delivered","6","RoadRunner","1402","11.3"
"D00019","Durban","15232","2025-06-18 15:00:00","2025-06-19 01:23:00","Delivered","0","MegaHaul","1414","35.8"
"D00020","Johannesburg","10698","2025-06-18 07:00:00","2025-06-18 18:57:00","Delivered","16","MegaHaul","389","12.4"
"D00021","Johannesburg","15791","2025-05-06 12:00:00","2025-05-07 03:05:00","Delivered","10","MegaHaul","1212","12.3"
"D00022","Pretoria","18004","2025-06-21 07:00:00","2025-06-21 11:57:00","Delivered","40","MegaHaul","1229","16.4"
"D00023","Johannesburg","19986","2025-05-20 17:00:00","2025-05-21 10:35:00","Delivered","41","SwiftX","1374","25.8"
"D00024","Johannesburg","11734","2025-06-21 14:00:00","2025-06-22 07:37:00","Delivered","69","MegaHaul","477","10.8"
"D00025","Durban","10262","2025-06-29 15:00:00","2025-06-30 02:23:00","Delivered","0","RoadRunner","885","12.5"
"D00026","Johannesburg","14548","2025-06-06 16:00:00","2025-06-07 10:16:00","Delivered","22","MegaHaul","1127","35.2"
"D00027","Gqeberha","16295","2025-06-23 13:00:00","2025-06-24 00:58:00","Delivered","31","MegaHaul","918","8.5"
"D00028","Durban","10956","2025-06-10 09:00:00","2025-06-10 12:40:00","Delivered","0","RoadRunner","402","16.6"
"D00029","Pretoria","11218","2025-05-17 06:00:00","2025-05-17 18:27:00","Delivered","0","MegaHaul","754","29.7"
"D00030","Bloemfontein","15895","2025-05-27 16:00:00","2025-05-27 20:45:00","Delivered","0","SkyDrop","288","33.6"
